pressure1,pressure2,temperature
9298,18976,2103
9317,18976,2103
9293,18976,2103
9317,18973,2103
9303,18976,2103
9337,18976,2103
9288,18976,2103
9313,18973,2103
9303,18979,2103
9317,18976,2103
9303,18979,2103
9322,18979,2103
9313,18976,2103
9342,18976,2103
9303,18973,2103
9317,18973,2103
9303,18976,2103
9303,18976,2103
9313,18976,2103
9317,18979,2103
9308,18976,2103
9327,18979,2103
9293,18979,2103
9322,18976,2103
9303,18976,2103
9327,18979,2103
9288,18976,2103
9298,18979,2103
9269,18979,2103
9293,18979,2103
9288,18979,2103
9303,18979,2103
9288,18979,2103
9308,18976,2103
9288,18979,2103
9303,18979,2103
9283,18979,2103
9283,18973,2103
9274,18979,2103
9303,18976,2103
9293,18979,2103
9288,18976,2103
9269,18976,2103
9283,18976,2103
9259,18976,2103
9288,18979,2103
9279,18979,2103
9279,18979,2103
9259,18979,2103
9279,18979,2103
9249,18976,2103
9279,18979,2103
9254,18979,2103
9264,18976,2103
9249,18979,2103
9279,18976,2103
9249,18976,2103
9269,18976,2103
9254,18979,2103
9269,18979,2103
9264,18979,2103
9283,18976,2103
9264,18976,2103
9279,18976,2103
9249,18979,2103
9264,18979,2103
9245,18979,2103
9274,18976,2103
9249,18976,2103
9269,18976,2103
9249,18979,2103
9264,18973,2103
9245,18973,2103
9274,18979,2103
9254,18979,2103
9283,18973,2103
9264,18979,2103
9274,18979,2103
9245,18979,2103
9264,18973,2103
9254,18976,2103
9279,18979,2103
9240,18976,2103
9240,18979,2103
9235,18976,2103
9264,18973,2103
9245,18976,2103
9269,18979,2103
9249,18976,2103
9254,18973,2103
9211,18979,2103
9230,18976,2103
9220,18979,2103
9240,18976,2103
9230,18979,2103
9274,18976,2103
9249,18976,2103
9274,18976,2103
9245,18979,2103
9259,18976,2103
9240,18976,2103
9264,18976,2103
9249,18976,2103
9269,18976,2103
9245,18979,2103
9254,18976,2103
9235,18976,2103
9230,18976,2103
9220,18979,2103
9259,18976,2103
9240,18979,2103
9274,18976,2103
9245,18976,2103
9235,18976,2103
9230,18979,2103
9249,18976,2103
9245,18976,2103
9245,18979,2103
9225,18976,2103
9259,18976,2103
9245,18979,2103
9264,18979,2103
9245,18979,2103
9245,18979,2103
9225,18976,2103
9225,18979,2103
9225,18976,2103
9245,18973,2103
9245,18979,2103
9264,18976,2103
9225,18976,2103
9225,18976,2103
9211,18979,2103
9220,18976,2103
9215,18979,2103
9220,18976,2103
9211,18976,2103
9225,18979,2103
9211,18979,2103
9225,18979,2103
9191,18979,2103
9220,18976,2103
9215,18979,2103
9240,18976,2103
9215,18979,2103
9220,18979,2103
9211,18979,2103
9235,18979,2103
9215,18979,2103
9225,18976,2103
9191,18976,2103
9230,18979,2103
9196,18979,2103
9215,18979,2103
9201,18976,2103
9215,18979,2103
9201,18979,2103
9215,18976,2103
9196,18973,2103
9215,18976,2103
9196,18979,2103
9215,18979,2103
9186,18979,2103
9211,18979,2103
9186,18979,2103
9211,18976,2103
9206,18979,2103
9201,18976,2103
9181,18979,2103
9206,18976,2103
9206,18979,2103
9230,18976,2103
9196,18979,2103
9211,18976,2103
9196,18976,2103
9211,18976,2103
9186,18976,2103
9201,18976,2103
9181,18976,2103
9206,18979,2103
9186,18976,2103
9211,18979,2103
9191,18976,2103
9201,18979,2103
9201,18973,2103
9215,18979,2103
9191,18976,2103
9211,18976,2103
9191,18979,2103
9196,18979,2103
9181,18976,2103
9206,18976,2103
9181,18976,2103
9211,18979,2103
9186,18979,2103
9201,18976,2103
9181,18976,2103
9201,18979,2103
9186,18979,2103
9201,18979,2103
9186,18973,2103
9201,18976,2103
9181,18979,2103
9196,18976,2103
9186,18976,2103
9191,18979,2103
9176,18976,2103
9196,18973,2103
9176,18976,2103
9196,18976,2103
9176,18979,2103
9191,18976,2103
9181,18976,2103
9201,18976,2103
9181,18979,2103
9191,18973,2103
9162,18976,2103
9196,18979,2103
9176,18976,2103
9196,18976,2103
9176,18979,2103
